gen, ranking_float_twopoint_best, ranking_float_twopoint_ave
 343,   0.6214, 0.561252
 344,   0.6214, 0.561566
 345,   0.6214, 0.560503
 346,   0.6214, 0.557576
 347,   0.6214, 0.557234
 348,   0.6214, 0.561875
 349,   0.6214, 0.557347
 350,   0.6218, 0.560423
 351,   0.6218, 0.560318
 352,   0.6218, 0.559447
 353,   0.6218,  0.55095
 354,   0.6218, 0.555858
 355,   0.6218, 0.557773
 356,    0.622, 0.562887
 357,    0.622, 0.569528
 358,    0.622, 0.563451
 359,    0.622, 0.562118
 360,    0.622, 0.561615
 361,    0.622,  0.55775
 362,    0.622, 0.558418
 363,    0.622,  0.56029
 364,    0.622, 0.556804
 365,    0.622, 0.554429
 366,    0.622, 0.555569
 367,    0.622, 0.561548
 368,    0.622, 0.563356
 369,    0.622,  0.55802
 370,    0.622, 0.562815
 371,    0.622, 0.553423
 372,   0.6222, 0.564826
 373,   0.6231,  0.56148
 374,   0.6231, 0.562584
 375,   0.6231,   0.5581
 376,   0.6232,  0.55898
 377,   0.6232, 0.558907
 378,   0.6232, 0.553558
 379,   0.6232, 0.560283
 380,   0.6232, 0.558392
 381,   0.6232, 0.555036
 382,   0.6232, 0.564032
 383,   0.6232, 0.565198
 384,   0.6232, 0.568636
 385,   0.6232, 0.564677
 386,   0.6232, 0.562147
 387,   0.6232, 0.562949
 388,   0.6232, 0.563616
 389,   0.6232, 0.560754
 390,   0.6232, 0.567742
 391,   0.6232, 0.566738
 392,   0.6232, 0.560201
 393,   0.6232, 0.558917
 394,   0.6235, 0.557298
 395,   0.6235, 0.562333
 396,   0.6235, 0.563901
 397,   0.6235, 0.561774
 398,   0.6239, 0.562932
 399,   0.6242, 0.557985
 400,   0.6242, 0.560974
 401,   0.6242, 0.560377
 402,   0.6242, 0.559139
 403,   0.6242, 0.564735
 404,   0.6242, 0.563783
 405,   0.6242, 0.560599
 406,   0.6242, 0.566619
 407,   0.6242, 0.566144
 408,   0.6245, 0.562996
 409,   0.6245,  0.56039
 410,   0.6245, 0.566527
 411,   0.6245, 0.565927
 412,   0.6245, 0.563793
 413,   0.6257, 0.562961
 414,   0.6257, 0.564738
 415,   0.6257, 0.562077
 416,   0.6257, 0.566645
 417,   0.6257, 0.564034
 418,   0.6257, 0.561523
 419,   0.6257, 0.556415
 420,   0.6257, 0.560708
 421,   0.6257, 0.564036
 422,   0.6261, 0.564692
 423,   0.6261, 0.559113
 424,   0.6261, 0.564012
 425,   0.6261,  0.56607
 426,   0.6261, 0.565516
 427,   0.6261, 0.563268
 428,   0.6261, 0.561117
 429,   0.6261, 0.557437
 430,   0.6261, 0.557491
 431,   0.6261, 0.560229
 432,   0.6261, 0.559689
 433,    0.627, 0.562627
 434,    0.627, 0.559389
 435,    0.627, 0.565656
 436,    0.627, 0.564903
 437,    0.627, 0.565004
 438,    0.627, 0.565476
 439,    0.627, 0.568148
 440,    0.627, 0.562241
 441,    0.627, 0.560643
 442,   0.6273,  0.56074
