gen, roulette_ternary_onepoint_best, roulette_ternary_onepoint_ave
 737,   0.6272,  0.45792
 738,   0.6272, 0.455727
 739,   0.6272, 0.459364
 740,   0.6272,  0.45619
 741,   0.6272, 0.456156
 742,   0.6272, 0.458402
 743,   0.6272, 0.457228
 744,   0.6278, 0.455151
 745,   0.6278, 0.460631
 746,   0.6278, 0.462589
 747,   0.6278, 0.466439
 748,   0.6278,  0.46674
 749,   0.6319, 0.463917
 750,   0.6319, 0.460973
 751,   0.6319, 0.468309
 752,   0.6319, 0.464353
 753,   0.6319, 0.457301
 754,   0.6319, 0.458552
 755,   0.6319, 0.459411
 756,   0.6319, 0.462934
 757,   0.6319, 0.466063
 758,   0.6319, 0.466399
 759,   0.6319,  0.45629
 760,   0.6319, 0.456172
 761,   0.6319, 0.466758
 762,   0.6319,  0.46478
 763,   0.6319,  0.46562
 764,   0.6319, 0.457609
 765,   0.6319, 0.454839
 766,   0.6319, 0.442673
 767,   0.6319, 0.439625
 768,   0.6319, 0.444534
 769,   0.6319, 0.444768
 770,   0.6319, 0.451778
 771,   0.6319, 0.448341
 772,   0.6319, 0.449708
 773,   0.6319, 0.447141
 774,   0.6319,  0.45448
 775,   0.6319,  0.45054
 776,   0.6319, 0.461358
 777,   0.6319, 0.458182
 778,   0.6319, 0.462413
 779,   0.6319, 0.462005
 780,   0.6319, 0.460296
 781,   0.6319, 0.469552
 782,   0.6319, 0.464931
 783,   0.6319, 0.467488
 784,   0.6319, 0.467284
 785,   0.6319, 0.467203
 786,   0.6319, 0.459987
 787,   0.6319, 0.453809
 788,   0.6319, 0.449258
 789,   0.6319, 0.456924
 790,   0.6319, 0.460068
 791,   0.6319, 0.453564
 792,   0.6319, 0.455267
 793,   0.6319, 0.450833
 794,   0.6319, 0.446184
 795,   0.6319, 0.445296
 796,   0.6319, 0.445287
 797,   0.6319,  0.45102
 798,   0.6319,  0.45286
 799,   0.6319, 0.455375
 800,   0.6319, 0.451277
 801,   0.6319, 0.455867
 802,   0.6319, 0.463924
 803,   0.6319, 0.456923
 804,   0.6319, 0.448261
 805,   0.6319, 0.451362
 806,   0.6319, 0.446315
 807,   0.6335,   0.4452
 808,   0.6335, 0.454168
 809,   0.6335, 0.453585
 810,   0.6335, 0.454313
 811,   0.6335, 0.455181
 812,   0.6335, 0.453997
 813,   0.6335,  0.45458
 814,   0.6335, 0.457676
 815,   0.6335, 0.457891
 816,   0.6335, 0.456385
 817,   0.6335, 0.453993
 818,   0.6335, 0.462319
 819,   0.6335, 0.456806
 820,   0.6335, 0.458288
 821,   0.6335, 0.467136
 822,   0.6335, 0.472488
 823,   0.6335, 0.470409
 824,   0.6335, 0.464984
 825,   0.6335, 0.463886
 826,   0.6335, 0.459855
 827,   0.6339, 0.463356
 828,   0.6339, 0.463959
 829,   0.6339, 0.458193
 830,   0.6339, 0.455202
 831,   0.6339, 0.449405
 832,   0.6339,  0.45555
 833,   0.6339, 0.457598
 834,   0.6339, 0.458418
 835,   0.6339, 0.449932
 836,   0.6339, 0.444613
 837,   0.6339, 0.446209
 838,   0.6339, 0.450063
 839,   0.6339, 0.452749
 840,   0.6339, 0.453279
 841,   0.6339, 0.455811
 842,   0.6339, 0.468032
 843,   0.6339,  0.46429
 844,   0.6339, 0.468131
 845,   0.6339,  0.46724
 846,   0.6339, 0.469089
 847,   0.6339, 0.468572
 848,   0.6339, 0.465069
 849,   0.6339, 0.459648
 850,   0.6339, 0.456343
 851,   0.6339, 0.454011
 852,   0.6339, 0.450507
 853,   0.6339, 0.452488
 854,   0.6339, 0.452623
 855,   0.6339, 0.450776
 856,   0.6339, 0.454215
 857,   0.6339, 0.449764
 858,   0.6339, 0.451885
 859,   0.6339, 0.457862
 860,   0.6339, 0.458782
 861,   0.6339, 0.460925
 862,   0.6339, 0.462553
 863,   0.6339, 0.463416
 864,   0.6339, 0.468773
 865,   0.6339, 0.469009
 866,   0.6339, 0.466689
 867,   0.6339, 0.473039
 868,   0.6339, 0.466366
 869,   0.6347, 0.460012
 870,   0.6347, 0.460008
 871,   0.6347, 0.454033
 872,   0.6347, 0.462973
 873,   0.6347, 0.458672
 874,   0.6347, 0.464254
 875,   0.6347, 0.462236
 876,   0.6347, 0.462009
 877,   0.6347, 0.451554
 878,   0.6347, 0.455491
 879,   0.6347, 0.459152
 880,   0.6347, 0.466722
 881,   0.6347, 0.463542
 882,   0.6347, 0.465183
 883,   0.6347, 0.475112
 884,   0.6347, 0.469604
 885,   0.6347, 0.464601
 886,   0.6347, 0.464276
 887,   0.6347, 0.460775
 888,   0.6347, 0.454309
 889,   0.6347,  0.45652
 890,   0.6347, 0.454736
 891,   0.6347, 0.461233
 892,   0.6347, 0.460916
 893,   0.6347,  0.46487
 894,   0.6347, 0.466521
 895,   0.6347, 0.470432
 896,   0.6347, 0.466742
 897,   0.6347, 0.459436
 898,   0.6347, 0.456914
 899,   0.6347, 0.466867
 900,   0.6347, 0.462563
 901,   0.6347, 0.461845
 902,   0.6347, 0.464718
 903,   0.6347, 0.465364
 904,   0.6347, 0.460898
 905,   0.6347, 0.469928
 906,   0.6347, 0.467493
 907,   0.6347,  0.46866
 908,   0.6347, 0.466453
 909,   0.6347, 0.456681
 910,   0.6347, 0.454785
 911,   0.6347, 0.452676
 912,   0.6347, 0.456459
 913,   0.6347, 0.452133
 914,   0.6347, 0.451376
 915,   0.6347, 0.449527
 916,   0.6347, 0.443294
 917,   0.6347, 0.446232
 918,   0.6347, 0.453819
 919,   0.6347,  0.45135
 920,   0.6347, 0.450915
 921,   0.6347, 0.453343
 922,   0.6372, 0.452448
 923,   0.6372, 0.456377
 924,   0.6372, 0.457113
 925,   0.6372, 0.468908
 926,   0.6372, 0.464539
 927,   0.6372, 0.458316
