gen, roulette_ternary_twopoint_best, roulette_ternary_twopoint_ave
 338,    0.611, 0.429794
 339,    0.611, 0.433183
 340,    0.611, 0.429603
 341,    0.611, 0.425878
 342,   0.6155,  0.42507
 343,   0.6155, 0.424381
 344,   0.6155, 0.419717
 345,   0.6155, 0.422116
 346,   0.6155, 0.422122
 347,   0.6299,  0.42343
 348,   0.6299, 0.426937
 349,   0.6299, 0.424343
 350,   0.6299, 0.435091
 351,   0.6299, 0.433549
 352,   0.6299, 0.435077
 353,   0.6299, 0.433641
 354,   0.6299, 0.429999
 355,   0.6299, 0.428441
 356,   0.6299, 0.423307
 357,   0.6299, 0.429237
 358,   0.6299, 0.430636
 359,   0.6299, 0.423449
 360,   0.6299, 0.422312
 361,   0.6299, 0.421037
 362,   0.6299, 0.426113
 363,   0.6299, 0.423149
 364,   0.6299, 0.432626
 365,   0.6299, 0.429903
 366,   0.6299, 0.425941
 367,   0.6299, 0.435839
 368,   0.6299, 0.433081
 369,   0.6299, 0.433555
 370,   0.6299, 0.437642
 371,   0.6299, 0.433697
 372,   0.6299, 0.428947
 373,   0.6299, 0.427214
 374,     0.63, 0.427869
 375,     0.63, 0.431338
 376,     0.63, 0.428004
 377,     0.63,  0.43015
 378,   0.6311, 0.432048
 379,   0.6311, 0.441602
 380,   0.6311, 0.435739
 381,   0.6311, 0.436455
 382,   0.6311, 0.431838
 383,   0.6311, 0.434072
 384,   0.6311, 0.427956
 385,   0.6311, 0.428551
 386,   0.6311,  0.42931
 387,   0.6311,  0.43583
 388,   0.6311, 0.434488
 389,   0.6311, 0.436709
 390,   0.6311,  0.44949
 391,   0.6311, 0.447529
 392,   0.6311, 0.444106
 393,   0.6311, 0.438267
 394,   0.6311, 0.436687
 395,   0.6311, 0.435209
 396,   0.6311, 0.426859
 397,   0.6311,  0.42667
 398,   0.6311, 0.426498
 399,   0.6311, 0.420056
 400,   0.6311, 0.425512
 401,   0.6311, 0.424865
 402,   0.6311, 0.427407
 403,   0.6311, 0.426358
 404,   0.6311, 0.435681
 405,   0.6311, 0.433924
 406,   0.6311, 0.437993
 407,   0.6311, 0.437874
 408,   0.6311, 0.441216
 409,   0.6311, 0.445758
 410,   0.6311, 0.438842
 411,    0.637, 0.444138
 412,    0.637, 0.438176
 413,    0.637, 0.442584
 414,    0.637, 0.437277
 415,    0.637, 0.439232
 416,    0.637, 0.442052
 417,    0.637,  0.44096
 418,    0.637, 0.442438
 419,    0.637, 0.444101
 420,    0.637, 0.440217
 421,    0.637, 0.429515
 422,    0.637,  0.43233
 423,    0.637, 0.432263
 424,    0.637, 0.428586
 425,    0.637, 0.440699
 426,    0.637, 0.442829
 427,    0.637, 0.445745
 428,    0.637, 0.441209
 429,    0.637, 0.443994
 430,    0.637, 0.438026
 431,    0.637, 0.436068
 432,    0.637, 0.433465
 433,    0.637, 0.431547
 434,    0.637, 0.428616
 435,    0.639, 0.429097
 436,    0.639, 0.437367
 437,    0.639, 0.433881
 438,    0.639, 0.443561
 439,    0.639, 0.448071
 440,    0.639, 0.449053
 441,    0.639, 0.450217
 442,    0.639,  0.44767
 443,    0.639, 0.442762
 444,    0.639, 0.438695
 445,   0.6413, 0.442122
 446,   0.6413, 0.436387
 447,   0.6413, 0.429834
 448,   0.6413, 0.439022
 449,   0.6413, 0.439057
 450,   0.6413, 0.445868
 451,   0.6413, 0.448439
 452,    0.648, 0.444123
 453,    0.648, 0.448757
 454,    0.648, 0.450877
 455,    0.648, 0.451387
 456,    0.648, 0.447218
 457,    0.648, 0.448631
 458,    0.648, 0.450274
 459,    0.648, 0.446456
 460,    0.648,  0.44743
 461,    0.648, 0.441444
 462,    0.648, 0.447765
 463,    0.648, 0.448219
 464,    0.648, 0.449035
 465,    0.648, 0.444922
 466,    0.648, 0.434426
 467,    0.648, 0.440289
 468,    0.648,  0.43701
 469,    0.648, 0.446713
 470,    0.648,   0.4408
 471,    0.648, 0.438425
 472,    0.648, 0.442867
 473,    0.648, 0.442249
 474,    0.648, 0.444355
 475,    0.648, 0.445916
 476,    0.648, 0.438458
 477,    0.648, 0.451935
 478,    0.648, 0.444351
 479,    0.648, 0.445799
 480,    0.648, 0.452948
 481,    0.648, 0.447735
 482,    0.648, 0.446525
 483,    0.648,  0.44872
 484,    0.648,  0.45151
 485,    0.648, 0.452533
 486,    0.648, 0.452243
 487,    0.648, 0.447203
 488,    0.648, 0.446755
 489,    0.648, 0.451334
 490,    0.648, 0.454949
 491,    0.648, 0.453768
 492,    0.651,  0.45069
 493,    0.651, 0.448905
 494,    0.651, 0.446197
 495,    0.651, 0.450342
 496,    0.651, 0.450035
 497,    0.651,  0.44849
 498,    0.651, 0.454158
 499,   0.6512, 0.453258
 500,   0.6512, 0.450315
 501,   0.6512,  0.45877
 502,   0.6512, 0.459961
 503,   0.6514, 0.467762
 504,   0.6514, 0.460512
 505,   0.6514,  0.44558
 506,   0.6514, 0.445619
 507,   0.6514, 0.440176
 508,   0.6557, 0.447793
 509,   0.6557, 0.446248
 510,   0.6557, 0.440899
 511,   0.6557, 0.443491
 512,   0.6557, 0.442101
 513,   0.6557, 0.437764
 514,   0.6557, 0.437263
 515,   0.6557, 0.443217
 516,   0.6557, 0.449335
 517,   0.6557, 0.439889
 518,   0.6557,  0.44486
 519,   0.6557, 0.451853
 520,   0.6557, 0.446734
 521,   0.6557, 0.449804
 522,   0.6557, 0.449432
 523,   0.6557, 0.443632
 524,   0.6557, 0.448047
 525,   0.6557, 0.450859
 526,   0.6557, 0.452426
 527,   0.6557, 0.447492
 528,   0.6557,  0.44725
 529,   0.6557, 0.447756
 530,   0.6557, 0.450296
 531,   0.6557, 0.447382
 532,   0.6557, 0.448793
 533,   0.6557, 0.444158
 534,   0.6557, 0.441557
 535,   0.6557, 0.450038
 536,   0.6557, 0.450893
 537,   0.6557, 0.445846
 538,   0.6557, 0.449054
 539,   0.6557, 0.438472
 540,   0.6557, 0.446905
 541,   0.6557, 0.448589
 542,   0.6557, 0.442968
 543,   0.6557, 0.441306
 544,   0.6557,   0.4442
 545,   0.6557, 0.452046
 546,   0.6557, 0.446371
 547,   0.6557, 0.442668
 548,   0.6557, 0.441758
 549,   0.6557, 0.448483
 550,   0.6557,  0.45238
 551,   0.6563,  0.46154
 552,   0.6563, 0.461978
 553,   0.6563, 0.462395
 554,   0.6584,   0.4559
 555,   0.6584, 0.454726
 556,   0.6584, 0.454158
 557,   0.6584,  0.45064
 558,   0.6584,  0.44962
 559,   0.6584, 0.439433
 560,   0.6584, 0.442079
 561,   0.6584, 0.439309
 562,   0.6584, 0.447556
 563,   0.6584, 0.445098
 564,   0.6584, 0.443558
 565,   0.6584, 0.449037
 566,   0.6584,  0.45234
 567,   0.6584, 0.445322
 568,   0.6584, 0.450399
 569,   0.6584, 0.455423
 570,   0.6584, 0.462413
 571,   0.6584, 0.464257
 572,   0.6584, 0.454766
 573,   0.6584, 0.457862
 574,   0.6584,  0.45617
 575,   0.6584, 0.459852
 576,   0.6584, 0.454749
 577,   0.6655,  0.44769
 578,   0.6655, 0.448097
 579,   0.6655, 0.445953
 580,   0.6655, 0.447434
 581,   0.6655, 0.454578
 582,   0.6655, 0.455109
 583,   0.6655, 0.460263
 584,   0.6655, 0.456888
 585,   0.6655, 0.464084
 586,   0.6655, 0.458064
 587,   0.6655, 0.454418
 588,   0.6655,  0.46013
 589,   0.6655, 0.458035
 590,   0.6655, 0.459312
 591,   0.6655, 0.464449
 592,   0.6655, 0.466734
 593,   0.6655, 0.465825
 594,   0.6655, 0.467043
 595,   0.6655, 0.464906
 596,   0.6655, 0.463459
 597,   0.6655, 0.466752
 598,   0.6655,  0.46044
 599,   0.6655, 0.457507
 600,   0.6655, 0.465403
 601,   0.6655, 0.468851
 602,   0.6655, 0.464031
 603,   0.6655, 0.462683
 604,   0.6655, 0.462723
 605,   0.6743, 0.467112
 606,   0.6743, 0.471903
 607,   0.6743,  0.46981
 608,   0.6743, 0.473258
 609,   0.6743, 0.467816
 610,   0.6743, 0.470125
 611,   0.6743, 0.472633
 612,   0.6743, 0.464556
 613,   0.6743, 0.461799
 614,   0.6743, 0.464389
 615,   0.6743, 0.458944
 616,   0.6743, 0.460268
 617,   0.6743, 0.456969
 618,   0.6743, 0.459874
 619,   0.6743, 0.455427
 620,   0.6743, 0.469585
 621,   0.6743,  0.46465
 622,   0.6743, 0.460361
 623,   0.6743, 0.457974
 624,   0.6743, 0.461623
 625,   0.6743, 0.460648
 626,   0.6743, 0.454768
 627,   0.6743, 0.455296
 628,   0.6805, 0.456971
 629,   0.6805, 0.460583
 630,   0.6805, 0.472739
 631,   0.6805, 0.468987
 632,   0.6805,  0.46802
 633,   0.6805,  0.47278
 634,   0.6805, 0.473854
 635,   0.6805, 0.472117
 636,   0.6805, 0.461975
 637,   0.6805, 0.463558
 638,   0.6805,  0.46185
 639,   0.6805, 0.461877
 640,   0.6805, 0.471385
 641,   0.6805,  0.46187
 642,   0.6805,  0.45999
 643,   0.6805, 0.462716
 644,   0.6805, 0.468295
 645,   0.6805, 0.464709
 646,   0.6805,  0.47334
 647,   0.6805,  0.46875
 648,   0.6805, 0.463847
 649,   0.6805, 0.457309
 650,   0.6805, 0.459541
 651,   0.6805, 0.461633
 652,   0.6805, 0.472026
 653,   0.6805, 0.463905
 654,   0.6805, 0.469871
 655,   0.6805, 0.466012
 656,   0.6805, 0.466768
 657,   0.6805, 0.467666
 658,   0.6805, 0.475422
 659,   0.6805, 0.470024
 660,   0.6805, 0.471375
 661,   0.6805,  0.47577
 662,   0.6805, 0.474297
 663,   0.6805, 0.468439
 664,   0.6805,  0.46437
 665,   0.6805, 0.466255
 666,   0.6805, 0.464844
 667,   0.6805, 0.466653
 668,   0.6805, 0.465638
 669,   0.6805, 0.466519
 670,   0.6805, 0.470184
 671,   0.6805, 0.476133
 672,   0.6805, 0.475563
 673,   0.6805, 0.470084
 674,   0.6805, 0.472764
 675,   0.6805, 0.471469
 676,   0.6805, 0.470901
 677,   0.6805, 0.466918
 678,   0.6805, 0.473983
 679,   0.6805, 0.466152
 680,   0.6805, 0.471761
 681,   0.6805, 0.465861
 682,   0.6805, 0.465829
 683,   0.6805, 0.471106
 684,   0.6805,  0.46668
 685,   0.6805, 0.466419
 686,   0.6805, 0.464662
 687,   0.6805,  0.46538
 688,   0.6805, 0.461275
 689,   0.6805,  0.46478
 690,   0.6805, 0.459885
 691,   0.6805, 0.461298
 692,   0.6805, 0.461363
 693,   0.6805, 0.465064
 694,   0.6805,  0.47516
 695,   0.6805, 0.470558
 696,   0.6805, 0.464464
 697,   0.6805, 0.471512
 698,   0.6805, 0.466676
 699,   0.6805, 0.471399
 700,   0.6805, 0.477828
 701,   0.6805, 0.475984
 702,   0.6805, 0.478619
 703,   0.6805, 0.482281
 704,   0.6805, 0.477946
 705,   0.6805, 0.467548
 706,   0.6805, 0.458207
 707,   0.6805,  0.46045
 708,   0.6805, 0.466858
 709,   0.6805, 0.467652
 710,   0.6805, 0.472129
 711,   0.6805,  0.47404
 712,   0.6805, 0.472358
 713,   0.6805, 0.469517
 714,   0.6805, 0.468392
 715,   0.6805, 0.466502
 716,   0.6805, 0.460467
 717,   0.6805, 0.459468
 718,   0.6805, 0.470135
 719,   0.6805, 0.463066
 720,   0.6805,  0.46111
 721,   0.6805, 0.461295
 722,   0.6805, 0.467061
 723,   0.6805, 0.469547
 724,   0.6805, 0.465023
 725,   0.6805, 0.471154
 726,   0.6805, 0.472628
 727,   0.6805,  0.46703
 728,   0.6805, 0.477513
 729,   0.6805, 0.474252
 730,   0.6805, 0.467758
 731,   0.6805, 0.470738
 732,   0.6805, 0.481837
 733,   0.6805, 0.472685
 734,   0.6805, 0.476834
 735,   0.6805, 0.477124
 736,   0.6805, 0.471525
 737,   0.6805, 0.467149
 738,   0.6805, 0.475316
 739,   0.6805, 0.474193
 740,   0.6805,  0.47943
 741,   0.6805, 0.476032
 742,   0.6805, 0.472856
 743,   0.6805, 0.472488
 744,   0.6805, 0.466026
 745,   0.6805,  0.46498
 746,   0.6805, 0.468403
 747,   0.6805, 0.470917
 748,   0.6805, 0.478824
 749,   0.6805, 0.483492
 750,   0.6805,  0.47905
 751,   0.6805, 0.474167
 752,   0.6805, 0.477539
 753,   0.6805, 0.481202
 754,   0.6805, 0.477677
 755,   0.6805, 0.479794
 756,   0.6805, 0.467223
 757,   0.6805, 0.465395
 758,   0.6805, 0.463278
 759,   0.6805, 0.474467
 760,   0.6805, 0.469722
 761,   0.6805, 0.471644
 762,   0.6805, 0.474517
 763,   0.6805, 0.479245
 764,   0.6855, 0.468547
 765,   0.6855, 0.469178
 766,   0.6855, 0.464882
 767,   0.6855,    0.464
 768,   0.6855, 0.454308
 769,   0.6855, 0.468924
 770,   0.6855, 0.470727
 771,   0.6855, 0.470253
 772,   0.6855, 0.463633
 773,   0.6855, 0.457496
 774,   0.6855,  0.46179
 775,   0.6855, 0.461184
 776,   0.6855, 0.460454
 777,   0.6855, 0.462581
 778,   0.6855,  0.46333
 779,   0.6855, 0.468186
 780,   0.6855, 0.466358
 781,   0.6855, 0.462552
 782,   0.6855, 0.466819
 783,   0.6855, 0.468602
 784,   0.6855, 0.467907
 785,   0.6855, 0.462603
 786,   0.6855, 0.461623
 787,   0.6855, 0.461546
 788,   0.6855, 0.462558
 789,   0.6855, 0.470889
 790,   0.6855, 0.474976
 791,   0.6855, 0.478851
 792,   0.6855, 0.469158
 793,   0.6855, 0.469586
 794,   0.6855, 0.468777
 795,   0.6855, 0.473623
 796,   0.6855, 0.470295
 797,   0.6855, 0.470181
 798,   0.6855, 0.467838
 799,   0.6855, 0.469003
 800,   0.6855, 0.469146
 801,   0.6855, 0.470848
 802,   0.6855, 0.460017
 803,   0.6855, 0.462198
 804,   0.6855, 0.452332
 805,   0.6855, 0.444141
 806,   0.6855,  0.44624
 807,   0.6855, 0.451358
 808,   0.6855, 0.452531
 809,   0.6855,  0.46096
 810,   0.6855,  0.45818
 811,   0.6855, 0.457485
 812,   0.6855, 0.458968
 813,   0.6855, 0.461563
 814,   0.6855,  0.45963
 815,   0.6855, 0.459526
 816,   0.6855, 0.463051
 817,   0.6855, 0.461028
 818,   0.6855, 0.466646
 819,   0.6855, 0.462343
 820,   0.6855, 0.468376
 821,   0.6855, 0.470426
 822,   0.6855, 0.472591
 823,   0.6855, 0.478934
 824,   0.6855, 0.479642
 825,   0.6855, 0.481838
 826,   0.6855, 0.479252
 827,   0.6855, 0.479419
 828,   0.6855, 0.481852
 829,   0.6855, 0.483509
 830,   0.6855, 0.485491
 831,   0.6855, 0.483817
 832,   0.6855, 0.488834
 833,   0.6855, 0.482483
 834,   0.6855,   0.4824
 835,   0.6855, 0.484984
 836,   0.6855, 0.481717
 837,   0.6855, 0.472251
 838,   0.6855, 0.472238
 839,   0.6855, 0.474634
 840,   0.6855, 0.473864
 841,   0.6855, 0.477985
 842,   0.6855, 0.477539
 843,   0.6855, 0.472867
 844,   0.6855, 0.467714
 845,   0.6855,  0.46689
 846,   0.6855, 0.477303
 847,   0.6855, 0.480359
 848,   0.6855, 0.475939
 849,   0.6855, 0.479776
 850,   0.6855, 0.464282
 851,   0.6855, 0.464054
 852,   0.6855, 0.465054
 853,   0.6855, 0.463635
 854,   0.6855, 0.468605
 855,   0.6855, 0.479704
 856,   0.6855, 0.473144
 857,   0.6855, 0.475106
 858,   0.6855, 0.479561
 859,   0.6859, 0.475795
 860,   0.6859, 0.476262
 861,   0.6859, 0.477215
 862,   0.6859, 0.481304
 863,   0.6859, 0.473153
 864,   0.6859, 0.473271
 865,   0.6859, 0.475228
 866,   0.6859, 0.474247
 867,   0.6859, 0.480203
 868,   0.6859, 0.491174
 869,   0.6859, 0.483836
 870,   0.6859, 0.488904
 871,   0.6859, 0.486436
 872,   0.6859, 0.481829
 873,   0.6859, 0.477719
 874,   0.6859, 0.487236
 875,   0.6859,  0.48195
 876,   0.6859, 0.484241
 877,   0.6859, 0.475191
 878,   0.6859, 0.478755
 879,   0.6859, 0.489895
