gen, roulette_ternary_uniform_best, roulette_ternary_uniform_ave
 519,   0.6346, 0.438909
 520,   0.6346, 0.449515
 521,   0.6346, 0.446846
 522,   0.6346, 0.442308
 523,   0.6346, 0.441258
 524,   0.6346, 0.442393
 525,   0.6346, 0.440251
 526,   0.6346, 0.439125
 527,   0.6346,  0.44051
 528,   0.6394, 0.440307
 529,   0.6394,  0.44512
 530,   0.6394, 0.441005
 531,   0.6394, 0.442596
 532,   0.6394, 0.444771
 533,   0.6394, 0.445221
 534,   0.6394, 0.440868
 535,   0.6394, 0.440518
 536,   0.6394,  0.43855
 537,   0.6394, 0.438662
 538,   0.6394, 0.441749
 539,   0.6394, 0.443461
 540,   0.6394, 0.439375
 541,   0.6394, 0.443004
 542,   0.6435, 0.443374
 543,   0.6435, 0.448759
 544,   0.6435, 0.449634
 545,   0.6518, 0.450958
 546,   0.6518,  0.44513
 547,   0.6518, 0.446823
 548,   0.6518, 0.457677
 549,   0.6518, 0.451436
 550,   0.6518, 0.452435
 551,   0.6518, 0.449397
 552,   0.6518, 0.451231
 553,   0.6518, 0.450982
 554,   0.6518, 0.445587
 555,   0.6518, 0.442686
 556,   0.6518, 0.440551
 557,   0.6518, 0.442493
 558,   0.6518, 0.442221
 559,   0.6518, 0.447164
 560,   0.6518,  0.45058
 561,   0.6518, 0.446654
 562,   0.6518, 0.449207
 563,   0.6518, 0.444941
 564,   0.6562, 0.446678
 565,   0.6562, 0.450366
 566,   0.6562, 0.452841
 567,   0.6562, 0.457411
 568,   0.6562, 0.464206
 569,   0.6562, 0.468172
 570,   0.6562, 0.464718
 571,   0.6562, 0.459428
 572,   0.6562, 0.457015
 573,   0.6562, 0.459031
 574,   0.6581, 0.457552
 575,   0.6581, 0.454423
 576,   0.6581, 0.453297
 577,   0.6581, 0.448178
 578,   0.6581, 0.444827
 579,   0.6581, 0.448396
 580,   0.6581, 0.455848
 581,   0.6581, 0.461494
 582,   0.6581, 0.455718
 583,   0.6581, 0.459774
 584,   0.6581, 0.457746
 585,   0.6581, 0.458248
 586,   0.6581, 0.452529
 587,   0.6581, 0.450957
 588,   0.6581, 0.455255
 589,   0.6583, 0.449098
 590,   0.6585, 0.450489
 591,   0.6585, 0.449223
 592,   0.6585, 0.457123
 593,   0.6585, 0.447826
 594,   0.6585,  0.44756
 595,   0.6585, 0.448899
 596,   0.6585, 0.451106
 597,   0.6585,  0.45123
 598,   0.6585, 0.448231
 599,   0.6585, 0.453332
 600,   0.6585, 0.450244
 601,   0.6585, 0.457365
 602,   0.6585, 0.458686
 603,   0.6585, 0.459097
 604,   0.6585, 0.459515
 605,   0.6585, 0.464872
 606,   0.6585, 0.465481
 607,   0.6585, 0.465117
 608,   0.6585, 0.467663
 609,   0.6585, 0.461743
 610,   0.6585, 0.462425
 611,   0.6585, 0.458654
 612,   0.6585, 0.464846
 613,   0.6585,  0.46136
 614,   0.6585, 0.459821
 615,   0.6585, 0.463326
 616,   0.6585, 0.457273
 617,   0.6585, 0.458021
 618,   0.6585, 0.461977
 619,   0.6585, 0.461845
 620,   0.6638, 0.467497
 621,   0.6638, 0.465199
 622,   0.6638, 0.465479
 623,   0.6638, 0.475027
 624,   0.6638,  0.46851
 625,   0.6638,  0.46174
 626,   0.6638, 0.464344
 627,   0.6638, 0.461066
 628,   0.6638, 0.455653
 629,   0.6638, 0.454776
 630,   0.6638, 0.459516
 631,   0.6638, 0.456104
 632,   0.6638, 0.451854
 633,   0.6638, 0.457675
 634,   0.6638, 0.454857
 635,   0.6638, 0.453728
 636,   0.6638, 0.456525
 637,   0.6638, 0.463852
 638,   0.6638, 0.463241
 639,   0.6638,   0.4666
 640,   0.6638,  0.46809
 641,   0.6638, 0.467784
 642,   0.6638, 0.459996
 643,   0.6638, 0.453229
 644,   0.6638, 0.459924
 645,   0.6638, 0.458727
 646,   0.6638, 0.460457
 647,   0.6638,   0.4634
 648,   0.6638, 0.464116
 649,   0.6638, 0.460136
 650,   0.6638,  0.45534
 651,   0.6638, 0.458029
 652,   0.6638, 0.455804
 653,   0.6638, 0.456895
 654,   0.6638,  0.45733
 655,   0.6638, 0.453043
 656,   0.6638, 0.457643
 657,   0.6638, 0.452211
 658,   0.6638, 0.461262
 659,   0.6638, 0.461577
 660,   0.6638, 0.471414
 661,   0.6638, 0.462696
 662,   0.6638, 0.458793
 663,   0.6638, 0.454023
 664,   0.6638, 0.457577
 665,   0.6638, 0.452969
 666,   0.6638, 0.459988
 667,   0.6638, 0.459028
 668,   0.6638, 0.459732
 669,   0.6638,  0.46464
 670,   0.6638, 0.458343
 671,   0.6638, 0.466261
 672,   0.6638, 0.468118
 673,   0.6638, 0.471856
 674,   0.6638, 0.466848
 675,   0.6638, 0.470004
 676,   0.6638,  0.46696
 677,   0.6638, 0.465205
 678,   0.6638, 0.461809
 679,   0.6638, 0.465293
 680,   0.6638,  0.46723
 681,   0.6638, 0.469755
 682,   0.6638, 0.467615
 683,   0.6638, 0.470751
 684,   0.6638, 0.467445
 685,   0.6638, 0.474117
 686,   0.6638, 0.477006
 687,   0.6638, 0.471456
