gen, roulette_float_twopoint_best, roulette_float_twopoint_ave
 655,   0.6563, 0.456144
 656,   0.6563, 0.451651
 657,   0.6563, 0.450668
 658,   0.6632, 0.453941
 659,   0.6632, 0.453684
 660,   0.6632, 0.456324
 661,   0.6632, 0.456119
 662,   0.6632, 0.459548
 663,   0.6632, 0.458806
 664,   0.6632, 0.462745
 665,   0.6632, 0.459756
 666,   0.6632, 0.465318
 667,   0.6632,  0.46793
 668,   0.6632, 0.467133
 669,   0.6632, 0.465801
 670,   0.6632, 0.462096
 671,   0.6632, 0.462467
 672,   0.6632, 0.458805
 673,   0.6632, 0.456507
 674,   0.6632, 0.462558
 675,   0.6632, 0.457472
 676,   0.6632, 0.461946
 677,   0.6632, 0.457538
 678,   0.6632, 0.457597
 679,   0.6632, 0.454931
 680,   0.6632, 0.458794
 681,   0.6649, 0.462701
 682,   0.6649, 0.459072
 683,   0.6649, 0.458254
 684,   0.6649, 0.450788
 685,   0.6649, 0.445206
 686,   0.6649, 0.450265
 687,   0.6649, 0.443116
 688,   0.6649, 0.442452
 689,   0.6649, 0.444598
 690,   0.6649, 0.445039
 691,   0.6649, 0.440637
 692,   0.6649, 0.452673
 693,   0.6649, 0.444092
 694,   0.6649, 0.451144
 695,   0.6649, 0.453527
 696,   0.6649, 0.454145
 697,   0.6649, 0.463036
 698,   0.6649, 0.464015
 699,   0.6649,  0.46369
 700,   0.6649, 0.463615
 701,   0.6649, 0.466461
 702,   0.6649, 0.462845
 703,   0.6649, 0.462156
 704,   0.6649, 0.463484
 705,   0.6649, 0.461091
 706,   0.6649, 0.458678
 707,   0.6661, 0.457093
 708,   0.6661, 0.461344
 709,   0.6661, 0.456564
 710,   0.6661, 0.454657
 711,   0.6661, 0.458158
 712,   0.6661,   0.4606
 713,   0.6661,  0.46357
 714,   0.6661, 0.461931
 715,   0.6661,  0.46223
 716,   0.6661, 0.458885
 717,   0.6661, 0.462314
 718,   0.6661,  0.45787
 719,   0.6674, 0.457705
 720,   0.6674, 0.464399
 721,   0.6674,  0.46463
 722,   0.6674, 0.462661
 723,   0.6674, 0.456654
 724,   0.6674, 0.459402
 725,   0.6674, 0.463502
 726,   0.6674, 0.459382
 727,   0.6674, 0.456452
 728,   0.6674, 0.461485
 729,   0.6674, 0.459253
 730,   0.6674, 0.454717
 731,   0.6674, 0.465806
 732,   0.6674, 0.471159
 733,   0.6674,  0.46895
 734,   0.6674, 0.472434
 735,   0.6674, 0.470241
 736,   0.6674, 0.464958
 737,   0.6674, 0.463254
 738,   0.6674, 0.463956
 739,   0.6674, 0.460171
 740,   0.6674, 0.458762
 741,   0.6674, 0.461237
 742,   0.6674, 0.466273
 743,   0.6674, 0.462753
 744,   0.6674, 0.461217
 745,   0.6674, 0.464513
 746,   0.6674,  0.46577
 747,   0.6674, 0.475244
 748,   0.6743, 0.477024
 749,   0.6743, 0.476133
 750,   0.6743, 0.480555
 751,   0.6743, 0.472766
 752,   0.6743, 0.474663
 753,   0.6743, 0.470501
 754,   0.6743, 0.469956
 755,   0.6743, 0.471891
 756,   0.6743, 0.465658
 757,   0.6743, 0.472421
 758,   0.6743, 0.464941
 759,   0.6743, 0.457797
 760,   0.6743, 0.459955
 761,   0.6743, 0.463208
 762,   0.6743, 0.464696
 763,   0.6743, 0.471756
 764,   0.6743, 0.467292
 765,   0.6743, 0.469044
 766,   0.6743, 0.463825
 767,   0.6743, 0.462454
 768,   0.6743, 0.459453
 769,   0.6743,  0.46431
 770,   0.6743, 0.461935
 771,   0.6743, 0.464905
 772,   0.6743, 0.460566
 773,   0.6743, 0.465546
 774,   0.6743, 0.465938
 775,   0.6743, 0.469168
 776,   0.6743, 0.467082
 777,   0.6779, 0.456097
 778,   0.6779, 0.455272
 779,   0.6779, 0.461335
 780,   0.6779, 0.464735
 781,   0.6779, 0.476121
 782,   0.6779, 0.477129
 783,   0.6779, 0.479588
 784,   0.6779, 0.475815
 785,   0.6779, 0.475673
 786,   0.6779,  0.46765
 787,   0.6779, 0.469562
 788,   0.6779,  0.46617
 789,   0.6779, 0.464363
 790,   0.6779,  0.46408
 791,   0.6779,  0.46952
 792,   0.6779, 0.472685
 793,   0.6779, 0.473403
 794,   0.6779, 0.473223
 795,   0.6779, 0.473932
 796,   0.6779, 0.480576
 797,   0.6779, 0.473983
 798,   0.6779, 0.478166
 799,   0.6779, 0.469698
 800,   0.6779, 0.472162
 801,   0.6779,  0.47347
 802,   0.6779, 0.472881
 803,   0.6779, 0.471186
 804,   0.6779, 0.476488
 805,   0.6779, 0.468769
 806,   0.6779, 0.472074
 807,   0.6779, 0.466515
 808,   0.6779, 0.467954
 809,   0.6779,  0.46524
 810,   0.6779, 0.466215
 811,   0.6779,  0.46346
 812,   0.6779,  0.45951
 813,   0.6779, 0.462388
 814,   0.6779, 0.455766
 815,   0.6779, 0.468487
 816,   0.6779, 0.467344
 817,   0.6779, 0.464317
 818,   0.6779, 0.464863
 819,   0.6779,  0.46257
 820,   0.6779, 0.461233
 821,   0.6779, 0.471553
 822,   0.6779, 0.471683
 823,   0.6779, 0.467869
 824,   0.6779, 0.465095
 825,   0.6779,  0.46707
 826,   0.6779, 0.464021
 827,   0.6781,  0.47062
 828,   0.6781, 0.467289
 829,   0.6781, 0.466085
 830,   0.6781, 0.472398
 831,   0.6781, 0.474264
 832,   0.6781, 0.468802
 833,   0.6781,  0.47145
 834,   0.6781, 0.472666
 835,   0.6781,   0.4697
 836,   0.6781, 0.468987
 837,   0.6781, 0.462191
 838,   0.6781, 0.471263
 839,   0.6781, 0.469803
 840,   0.6781, 0.479094
 841,   0.6781, 0.478692
 842,   0.6781, 0.465878
 843,   0.6781,  0.46764
 844,   0.6781, 0.470044
 845,   0.6805, 0.463044
 846,   0.6805, 0.462314
 847,   0.6822, 0.462555
 848,   0.6822, 0.454313
 849,   0.6822, 0.463109
 850,   0.6822, 0.467718
 851,   0.6822, 0.471209
 852,   0.6822, 0.473255
 853,   0.6822, 0.469735
 854,   0.6822,  0.47081
 855,   0.6822, 0.466391
 856,   0.6822, 0.471967
 857,   0.6822, 0.472766
 858,   0.6822, 0.468826
 859,   0.6822, 0.468681
 860,   0.6822, 0.466827
 861,   0.6822, 0.470066
 862,   0.6822, 0.465693
 863,   0.6822, 0.465197
 864,   0.6822, 0.466876
 865,   0.6822, 0.463926
 866,   0.6822, 0.461074
 867,   0.6822, 0.464377
 868,   0.6822, 0.459411
 869,   0.6822, 0.460883
 870,   0.6822, 0.457932
 871,   0.6822, 0.449129
 872,     0.69,  0.45122
 873,     0.69, 0.460137
 874,     0.69, 0.462644
 875,     0.69, 0.467321
 876,     0.69,  0.46992
 877,     0.69, 0.465726
 878,     0.69, 0.460343
 879,     0.69, 0.460279
 880,     0.69, 0.456427
 881,     0.69,  0.45461
 882,     0.69, 0.450487
 883,     0.69, 0.449286
 884,     0.69, 0.449013
 885,     0.69, 0.451895
 886,     0.69, 0.454737
 887,     0.69, 0.459993
 888,     0.69, 0.459271
 889,     0.69,  0.45856
 890,     0.69, 0.459613
 891,     0.69, 0.462334
 892,     0.69, 0.459864
 893,     0.69, 0.465471
 894,     0.69, 0.459938
 895,     0.69, 0.449113
 896,     0.69, 0.458061
 897,     0.69, 0.447266
 898,     0.69, 0.450668
 899,     0.69, 0.460448
 900,     0.69, 0.463411
 901,     0.69, 0.457836
 902,     0.69, 0.453829
 903,     0.69, 0.449129
 904,     0.69, 0.452179
 905,     0.69, 0.457925
 906,     0.69, 0.458562
 907,     0.69, 0.461335
 908,     0.69,  0.46944
 909,     0.69, 0.469802
 910,     0.69,  0.47552
 911,     0.69, 0.466759
 912,     0.69, 0.471775
 913,     0.69, 0.475597
 914,     0.69, 0.473322
 915,     0.69, 0.469137
 916,     0.69, 0.465701
 917,     0.69, 0.466044
 918,     0.69, 0.466657
 919,     0.69, 0.470032
 920,     0.69, 0.467739
 921,     0.69, 0.471406
 922,     0.69, 0.472764
 923,     0.69, 0.471238
 924,     0.69, 0.476005
 925,     0.69,  0.46744
 926,     0.69, 0.464651
 927,     0.69, 0.456664
 928,     0.69, 0.456239
 929,     0.69, 0.450325
 930,     0.69,  0.45961
