gen, roulette_scalar_uniform_best, roulette_scalar_uniform_ave
 387,   0.5492, 0.366064
 388,   0.5492, 0.359329
 389,   0.5492, 0.358784
 390,   0.5492, 0.363409
 391,   0.5616, 0.364812
 392,   0.5616, 0.360644
 393,   0.5616, 0.364031
 394,   0.5616, 0.365781
 395,   0.5616, 0.365423
 396,   0.5616, 0.367434
 397,   0.5616, 0.366948
 398,   0.5616, 0.365909
 399,   0.5616, 0.368105
 400,   0.5616, 0.376148
 401,   0.5616, 0.373882
 402,   0.5616, 0.373105
 403,   0.5616, 0.374804
 404,   0.5616, 0.375077
 405,   0.5616, 0.374555
 406,   0.5616, 0.378076
 407,   0.5616, 0.377976
 408,   0.5616, 0.382257
 409,   0.5616, 0.378839
 410,   0.5616, 0.374765
 411,   0.5616, 0.375293
 412,   0.5616, 0.380265
 413,   0.5616,  0.36972
 414,   0.5616, 0.369505
 415,   0.5616, 0.367633
 416,   0.5616, 0.369257
 417,   0.5616, 0.371283
 418,   0.5615, 0.373026
 419,   0.5615, 0.378321
 420,   0.5615, 0.381426
 421,   0.5615, 0.379497
 422,   0.5615, 0.376816
 423,   0.5615, 0.376121
 424,   0.5615, 0.370732
 425,   0.5615, 0.378632
 426,   0.5615, 0.374438
 427,   0.5615, 0.375012
 428,   0.5615, 0.377866
 429,   0.5615, 0.374113
 430,   0.5825, 0.372367
 431,   0.5825, 0.373765
 432,   0.5825, 0.378927
 433,   0.5825, 0.380155
 434,   0.5825, 0.378499
 435,   0.5825, 0.380993
 436,   0.5825, 0.383374
 437,   0.5825, 0.383774
 438,   0.5825, 0.383554
 439,   0.5825, 0.380287
 440,   0.5825, 0.389336
 441,   0.5825, 0.381274
 442,   0.5825, 0.383191
 443,   0.5825, 0.383743
 444,   0.5825, 0.387873
 445,   0.5825,  0.39362
 446,   0.5825,  0.39098
 447,   0.5825, 0.381559
 448,   0.5825, 0.386829
 449,   0.5825, 0.388832
 450,   0.5825, 0.384328
 451,   0.5825, 0.391562
 452,   0.5825, 0.388514
 453,   0.5825, 0.386688
 454,   0.5825, 0.386392
 455,   0.5865, 0.389273
 456,   0.5865, 0.388738
 457,   0.5865, 0.391513
 458,   0.5865, 0.389931
 459,   0.5865,  0.39176
 460,   0.5865, 0.393788
 461,   0.5865, 0.389651
 462,   0.5865, 0.385224
 463,   0.5865,  0.39205
 464,   0.5865, 0.394913
 465,   0.5865, 0.392276
 466,   0.5865, 0.387387
 467,   0.5865,  0.38636
 468,   0.5865, 0.385087
 469,   0.5865, 0.377586
 470,   0.5865, 0.380822
 471,   0.5865, 0.377975
 472,   0.5865, 0.383001
 473,   0.5865, 0.389462
 474,   0.5865, 0.383835
 475,   0.5865, 0.392779
 476,   0.5865, 0.395115
 477,   0.5865, 0.390734
 478,   0.5865, 0.395229
 479,   0.5865, 0.391836
 480,   0.5865, 0.385618
 481,   0.5865, 0.389645
 482,   0.5865, 0.390228
 483,   0.5865, 0.390545
 484,   0.5865, 0.390039
 485,   0.5865, 0.386818
 486,   0.5865, 0.384193
 487,   0.5865,  0.38408
 488,   0.5865, 0.382686
 489,   0.5865,  0.38948
 490,   0.5865, 0.395179
 491,   0.5865, 0.390761
 492,   0.5865, 0.390812
 493,   0.5865, 0.390513
 494,   0.5865, 0.390026
 495,   0.5865, 0.387124
 496,   0.5865, 0.383103
 497,   0.5865, 0.382062
 498,   0.5865, 0.384184
 499,   0.5865, 0.384956
 500,   0.5865, 0.386921
 501,   0.5865, 0.387084
 502,   0.5865, 0.381471
 503,   0.5865, 0.381708
 504,   0.5865,  0.37581
 505,   0.5865, 0.384973
 506,   0.5865, 0.383525
 507,   0.5865, 0.386654
 508,   0.5865, 0.377609
 509,   0.5865, 0.381528
 510,   0.5865, 0.382042
 511,   0.5865, 0.379063
 512,   0.5865, 0.381478
 513,   0.5865, 0.387798
 514,   0.5865, 0.387277
 515,   0.5865, 0.386226
 516,   0.5865, 0.386484
 517,   0.5865, 0.384957
 518,   0.5865, 0.381489
 519,   0.5865, 0.378479
 520,   0.5865, 0.383087
 521,   0.5865, 0.389296
 522,   0.5865, 0.387102
 523,   0.5865, 0.391593
 524,   0.5865, 0.387655
 525,   0.5865, 0.387772
