gen, tournament_binary_twopoint_best, tournament_binary_twopoint_ave
 699,   0.7827, 0.717992
 700,   0.7827, 0.717335
 701,   0.7827, 0.721542
 702,   0.7827, 0.717197
 703,   0.7827, 0.718942
 704,   0.7836, 0.717816
 705,   0.7836, 0.715744
 706,   0.7836, 0.714945
 707,   0.7836,  0.71877
 708,   0.7836,  0.71594
 709,   0.7836, 0.718879
 710,   0.7836, 0.719302
 711,   0.7836,  0.71706
 712,   0.7836, 0.716462
 713,   0.7836, 0.716219
 714,   0.7836, 0.718581
 715,   0.7836, 0.719324
 716,   0.7836, 0.717526
 717,   0.7836, 0.717052
 718,   0.7836, 0.716158
 719,   0.7836, 0.714997
 720,   0.7836, 0.715484
 721,   0.7836, 0.719706
 722,   0.7836, 0.718788
 723,   0.7836, 0.719537
 724,   0.7836, 0.719913
 725,   0.7836, 0.718295
 726,   0.7836, 0.716782
 727,   0.7836, 0.719029
 728,   0.7836, 0.714878
 729,   0.7836, 0.722295
 730,   0.7836, 0.718504
 731,   0.7836, 0.713975
 732,   0.7836, 0.719403
 733,   0.7836, 0.717521
 734,   0.7836, 0.720128
 735,   0.7836, 0.723849
 736,   0.7836, 0.720064
 737,   0.7836, 0.721018
 738,   0.7836, 0.719171
 739,   0.7836, 0.717504
 740,   0.7836, 0.719184
 741,   0.7836, 0.713741
 742,   0.7836, 0.716636
 743,   0.7836, 0.715653
 744,   0.7836, 0.717031
 745,   0.7836, 0.719347
 746,   0.7836, 0.717867
 747,   0.7836,  0.71717
 748,   0.7837, 0.714343
 749,   0.7837, 0.716686
 750,   0.7837, 0.718684
 751,   0.7837, 0.717826
 752,   0.7837, 0.718627
 753,   0.7837, 0.717557
 754,   0.7837, 0.721604
 755,   0.7837, 0.717773
 756,   0.7837, 0.724805
 757,   0.7837, 0.722017
 758,   0.7837, 0.715915
 759,   0.7837, 0.713618
 760,   0.7837, 0.717087
 761,   0.7837, 0.717042
 762,   0.7837, 0.717974
 763,   0.7837, 0.718307
 764,   0.7837, 0.713992
 765,   0.7837, 0.720207
 766,   0.7837, 0.716912
 767,   0.7837, 0.715313
 768,   0.7837, 0.715358
 769,   0.7837, 0.716405
 770,   0.7837, 0.717896
 771,   0.7837,  0.71897
 772,   0.7837, 0.720806
 773,   0.7837, 0.720533
