gen, tournament_scalar_uniform_best, tournament_scalar_uniform_ave
 804,   0.8222, 0.733422
 805,   0.8222, 0.734506
 806,   0.8222, 0.732086
 807,   0.8222, 0.736646
 808,   0.8222, 0.741892
 809,   0.8222, 0.736545
 810,   0.8222, 0.742472
 811,   0.8222, 0.747259
 812,   0.8222, 0.740113
 813,   0.8222, 0.735772
 814,   0.8222, 0.733149
 815,   0.8222, 0.727989
 816,   0.8222, 0.736566
 817,   0.8222, 0.734582
 818,   0.8222, 0.732544
 819,   0.8157, 0.734995
 820,   0.8199, 0.733657
 821,   0.8199, 0.742827
 822,   0.8215, 0.739411
 823,   0.8215, 0.731542
 824,   0.8231, 0.737834
 825,   0.8231, 0.735226
 826,   0.8238, 0.740677
 827,   0.8238,   0.7378
 828,   0.8238, 0.734403
 829,   0.8238, 0.738659
 830,   0.8238, 0.744332
 831,   0.8238, 0.738252
 832,   0.8238, 0.741808
 833,   0.8238, 0.730905
 834,   0.8238,  0.73899
 835,   0.8238, 0.734083
 836,   0.8238, 0.737568
 837,   0.8238, 0.741788
 838,   0.8238, 0.736564
 839,   0.8238, 0.736243
 840,   0.8238,  0.74508
 841,   0.8238, 0.741117
 842,   0.8238, 0.735445
 843,   0.8238, 0.734216
 844,   0.8238, 0.731027
 845,   0.8238, 0.738288
 846,   0.8238, 0.741282
 847,   0.8238, 0.735556
 848,   0.8238, 0.736376
 849,   0.8238, 0.732486
 850,   0.8238, 0.737785
 851,   0.8238, 0.740003
 852,   0.8237, 0.728193
 853,   0.8237, 0.729663
 854,   0.8237, 0.732777
 855,   0.8246, 0.737149
 856,   0.8246, 0.741247
 857,   0.8246, 0.746651
 858,   0.8246,  0.74431
 859,   0.8246, 0.739177
 860,   0.8246, 0.743137
 861,   0.8246, 0.742616
 862,   0.8246, 0.739139
 863,   0.8246, 0.741256
 864,   0.8246, 0.746421
 865,   0.8246, 0.735038
 866,   0.8246, 0.743288
 867,   0.8246, 0.734482
 868,   0.8246, 0.743881
 869,   0.8246, 0.740757
 870,   0.8218, 0.744873
 871,   0.8218, 0.737252
 872,   0.8218, 0.738912
 873,   0.8218, 0.743517
 874,   0.8218, 0.735499
 875,   0.8226, 0.736829
 876,   0.8226, 0.735125
 877,   0.8226, 0.740283
 878,   0.8226,  0.74157
 879,   0.8226, 0.738053
 880,   0.8226, 0.730001
 881,   0.8226,  0.74189
 882,   0.8226, 0.735479
 883,   0.8226, 0.736699
 884,   0.8226, 0.737252
 885,   0.8226, 0.733555
 886,   0.8226, 0.732441
 887,   0.8226, 0.736457
 888,   0.8226, 0.734676
 889,   0.8226, 0.732046
 890,   0.8226, 0.743967
 891,   0.8226, 0.735455
 892,   0.8226, 0.737023
 893,   0.8226,  0.74097
 894,   0.8226, 0.736019
 895,   0.8226, 0.733028
 896,   0.8226, 0.739662
 897,   0.8226,  0.74178
 898,   0.8226, 0.743607
 899,   0.8226, 0.739363
 900,   0.8226,  0.73849
 901,   0.8193, 0.736934
 902,   0.8193, 0.737236
 903,   0.8193, 0.734693
 904,   0.8201, 0.730565
 905,   0.8201, 0.734288
 906,   0.8199, 0.719657
 907,   0.8199, 0.736371
 908,   0.8199, 0.733133
 909,   0.8199, 0.739242
 910,   0.8199, 0.740669
 911,   0.8199, 0.739384
 912,   0.8199, 0.740478
 913,   0.8199, 0.727884
 914,   0.8199, 0.743426
 915,   0.8243, 0.739254
 916,   0.8243, 0.740497
 917,   0.8243, 0.744061
 918,   0.8243, 0.739674
 919,   0.8243, 0.739376
 920,   0.8243, 0.738102
 921,   0.8243, 0.737804
 922,   0.8243, 0.742231
 923,   0.8243, 0.736277
 924,   0.8243, 0.747019
 925,   0.8243, 0.733776
 926,   0.8243, 0.734723
 927,   0.8243, 0.735151
 928,   0.8243, 0.740714
 929,   0.8243,  0.73843
 930,   0.8243, 0.745663
