gen, tournament_scalar_onepoint_best, tournament_scalar_onepoint_ave
 562,   0.6514, 0.606655
 563,   0.6539, 0.606507
 564,   0.6539, 0.606194
 565,   0.6513, 0.609015
 566,   0.6531, 0.608477
 567,   0.6531, 0.605241
 568,   0.6531, 0.606452
 569,   0.6531, 0.610003
 570,   0.6537, 0.610772
 571,   0.6537, 0.605842
 572,   0.6537, 0.609116
 573,   0.6537, 0.605461
 574,   0.6537, 0.599937
 575,   0.6537, 0.605452
 576,   0.6537, 0.606484
 577,   0.6537, 0.607087
 578,   0.6537, 0.610802
 579,    0.654, 0.610457
 580,    0.654, 0.607815
 581,   0.6543, 0.606121
 582,   0.6543, 0.608937
 583,   0.6539, 0.608364
 584,   0.6539, 0.605308
 585,   0.6539, 0.604882
 586,   0.6539, 0.607098
 587,   0.6539, 0.607379
 588,   0.6539, 0.605886
 589,   0.6539, 0.606768
 590,   0.6542, 0.606139
 591,   0.6542, 0.601928
 592,   0.6542, 0.611479
 593,   0.6542,   0.6063
 594,   0.6542, 0.608413
 595,   0.6555, 0.607061
 596,   0.6543, 0.609385
 597,   0.6543, 0.608972
 598,   0.6543, 0.605745
 599,   0.6543, 0.607977
 600,   0.6543, 0.609147
 601,   0.6543, 0.607363
 602,   0.6526, 0.611974
 603,   0.6526, 0.609125
 604,   0.6526, 0.608888
 605,   0.6526, 0.603209
 606,   0.6526, 0.603671
 607,   0.6526, 0.612233
 608,   0.6526, 0.610184
 609,   0.6526,  0.61162
 610,   0.6526, 0.609741
 611,   0.6535, 0.610972
 612,   0.6535, 0.609013
 613,   0.6535, 0.606646
 614,   0.6535, 0.604893
 615,   0.6535, 0.611027
 616,   0.6535, 0.608581
 617,   0.6535, 0.606774
 618,   0.6535, 0.608911
 619,   0.6524, 0.612091
 620,   0.6524, 0.603987
 621,   0.6517, 0.611314
 622,   0.6517, 0.608128
 623,   0.6541, 0.607867
 624,   0.6541, 0.610118
 625,   0.6541, 0.605781
 626,   0.6541, 0.607152
 627,   0.6541, 0.609762
 628,   0.6541, 0.609442
 629,   0.6541, 0.609842
 630,   0.6541, 0.610586
 631,   0.6541, 0.607756
 632,   0.6541, 0.609248
 633,   0.6541, 0.612185
 634,   0.6541, 0.610265
 635,   0.6541, 0.604111
 636,   0.6541, 0.606011
 637,   0.6541, 0.606067
 638,   0.6542,  0.61021
 639,   0.6543, 0.608462
 640,   0.6543, 0.610906
 641,   0.6543, 0.608482
 642,   0.6544, 0.609296
 643,   0.6544, 0.610867
 644,   0.6544, 0.605961
 645,   0.6544, 0.607576
 646,   0.6544, 0.601655
 647,   0.6544, 0.606339
 648,   0.6544, 0.607339
 649,   0.6544, 0.611196
 650,   0.6544, 0.605315
 651,   0.6544, 0.611703
 652,   0.6544, 0.608319
 653,   0.6544, 0.607401
 654,   0.6544, 0.605019
 655,   0.6544, 0.607176
 656,   0.6544, 0.606573
 657,   0.6544, 0.606046
 658,   0.6544, 0.606535
 659,   0.6561, 0.604732
 660,   0.6561, 0.609742
 661,   0.6561, 0.606027
 662,   0.6542, 0.606751
 663,   0.6542, 0.605716
 664,   0.6542, 0.603499
 665,   0.6548, 0.604497
 666,   0.6548, 0.607624
 667,   0.6548, 0.604689
 668,   0.6548, 0.609035
 669,   0.6548, 0.608724
 670,   0.6548, 0.605904
 671,   0.6548, 0.604688
 672,   0.6548, 0.602715
 673,   0.6548, 0.608931
 674,   0.6548, 0.612506
 675,   0.6548, 0.606889
 676,   0.6548, 0.611656
 677,   0.6547, 0.608586
 678,   0.6547, 0.609209
 679,   0.6547, 0.613767
 680,   0.6547, 0.607202
 681,   0.6554, 0.608179
 682,   0.6554, 0.610264
 683,   0.6554, 0.606056
 684,   0.6554, 0.607078
 685,   0.6554, 0.614411
 686,   0.6554, 0.609783
 687,   0.6554, 0.607929
 688,   0.6554, 0.615146
 689,   0.6554, 0.608951
 690,   0.6551, 0.606152
 691,   0.6551, 0.612278
 692,   0.6546, 0.607715
 693,   0.6546, 0.607544
 694,   0.6546, 0.604455
 695,   0.6546, 0.609851
 696,   0.6546,   0.6076
 697,   0.6546, 0.606772
 698,   0.6546, 0.612122
 699,   0.6546, 0.611659
 700,   0.6546,  0.61201
 701,   0.6539, 0.608814
 702,   0.6539, 0.612382
 703,   0.6539, 0.606434
 704,   0.6539, 0.615991
 705,   0.6539, 0.606402
 706,   0.6539, 0.610504
 707,   0.6539, 0.613541
 708,   0.6539, 0.614317
 709,   0.6539,  0.61049
 710,   0.6539,  0.60734
 711,   0.6539,  0.60786
 712,   0.6539, 0.609262
 713,   0.6539, 0.610299
 714,   0.6539, 0.614206
 715,   0.6539, 0.609757
 716,   0.6539, 0.607175
 717,   0.6539, 0.612051
 718,   0.6539, 0.613851
 719,   0.6539,  0.60963
 720,   0.6539,  0.60458
 721,   0.6539, 0.607444
 722,   0.6539, 0.611308
 723,   0.6539, 0.604729
 724,   0.6539, 0.607545
 725,   0.6539, 0.615001
 726,   0.6539, 0.613627
 727,   0.6539, 0.610398
 728,   0.6539, 0.614847
 729,   0.6539, 0.609987
 730,   0.6539, 0.604689
 731,   0.6539, 0.610432
 732,   0.6539, 0.607113
 733,   0.6539, 0.604908
 734,   0.6539, 0.608331
 735,   0.6539, 0.611812
 736,   0.6539, 0.614559
 737,   0.6539, 0.617354
 738,   0.6539, 0.608853
 739,   0.6539, 0.609729
 740,   0.6539, 0.612451
 741,   0.6539, 0.609353
 742,   0.6539, 0.617496
 743,   0.6539, 0.606268
 744,   0.6539, 0.608283
 745,   0.6539, 0.609977
 746,   0.6539, 0.610163
 747,   0.6548, 0.614263
 748,   0.6548, 0.611238
 749,   0.6552, 0.611741
 750,   0.6552, 0.617176
 751,   0.6552, 0.610374
 752,   0.6552, 0.614161
 753,   0.6552, 0.605697
