gen, tournament_ternary_twopoint_best, tournament_ternary_twopoint_ave
 742,   0.8251, 0.737383
 743,   0.8251, 0.731936
 744,   0.8251, 0.740472
 745,   0.8251, 0.737158
 746,   0.8251, 0.730278
 747,   0.8251, 0.737122
 748,   0.8251, 0.733853
 749,   0.8251, 0.741844
 750,   0.8251, 0.734163
 751,   0.8251, 0.743411
 752,   0.8251, 0.730033
 753,   0.8251, 0.739613
 754,   0.8252, 0.738965
 755,   0.8252,  0.73925
 756,   0.8252, 0.744025
 757,   0.8252, 0.735122
 758,   0.8259, 0.742201
 759,   0.8259, 0.741102
 760,   0.8259, 0.744577
 761,   0.8259, 0.743919
 762,   0.8259, 0.739142
 763,   0.8259, 0.744449
 764,   0.8259, 0.732615
 765,   0.8259, 0.740319
 766,   0.8259,  0.73572
 767,    0.826, 0.739302
 768,    0.826, 0.740403
 769,    0.826, 0.742966
 770,    0.826, 0.740825
 771,    0.826, 0.737761
 772,    0.826, 0.740173
 773,    0.826, 0.743891
 774,    0.826, 0.746826
 775,    0.826, 0.741107
 776,    0.826, 0.740268
 777,    0.826, 0.740462
 778,    0.826, 0.737876
 779,    0.826,  0.74241
 780,    0.826, 0.741611
 781,    0.826, 0.740173
 782,    0.826, 0.741094
 783,    0.826, 0.738867
 784,   0.8269, 0.740978
 785,   0.8269, 0.738523
 786,   0.8269,  0.73508
 787,   0.8269, 0.736389
 788,   0.8269, 0.734438
 789,   0.8269, 0.735613
 790,   0.8269, 0.741713
 791,   0.8269, 0.738494
 792,   0.8269, 0.745555
 793,    0.828, 0.742699
 794,    0.828, 0.738703
 795,    0.828, 0.737293
 796,    0.828, 0.737863
 797,    0.828, 0.736723
 798,    0.828, 0.738077
 799,    0.828, 0.742176
 800,    0.828, 0.739498
 801,    0.828, 0.738967
 802,    0.828, 0.742382
 803,    0.828, 0.739668
 804,    0.828,  0.74481
 805,    0.828, 0.741846
 806,    0.828, 0.736371
 807,    0.828, 0.737957
 808,    0.828,  0.74062
 809,    0.828, 0.737462
 810,    0.828, 0.741173
 811,    0.828, 0.740076
 812,    0.828,  0.74317
 813,    0.828,   0.7377
 814,    0.828, 0.739287
 815,    0.828, 0.746525
 816,    0.828, 0.739124
 817,    0.828, 0.743915
 818,    0.828, 0.733008
 819,    0.828, 0.746072
 820,   0.8282, 0.747868
 821,   0.8282, 0.736365
 822,   0.8282, 0.727997
 823,   0.8282, 0.738226
 824,   0.8282, 0.738128
 825,   0.8282, 0.742914
 826,   0.8282,  0.73951
 827,   0.8282, 0.743494
 828,   0.8282, 0.734532
 829,   0.8282, 0.743081
 830,   0.8282, 0.745997
 831,   0.8282, 0.736282
 832,   0.8282, 0.738817
 833,   0.8282, 0.741665
 834,   0.8282, 0.739252
 835,   0.8282, 0.742136
 836,   0.8282, 0.745416
 837,   0.8282, 0.737981
 838,   0.8282, 0.737581
 839,    0.829, 0.736081
 840,    0.829, 0.739712
 841,    0.829, 0.739329
 842,    0.829, 0.744021
 843,    0.829, 0.744835
 844,    0.829, 0.750318
 845,    0.829, 0.747406
 846,    0.829, 0.740237
 847,     0.83, 0.746376
 848,     0.83, 0.738897
 849,     0.83, 0.739893
 850,     0.83, 0.748171
 851,     0.83, 0.746936
 852,     0.83, 0.737482
 853,     0.83, 0.741602
 854,     0.83,  0.74403
 855,     0.83, 0.736319
 856,     0.83, 0.736024
 857,     0.83, 0.736991
 858,     0.83, 0.737284
 859,     0.83, 0.738846
 860,     0.83, 0.737519
 861,     0.83, 0.740808
 862,     0.83, 0.738972
 863,     0.83, 0.737575
 864,     0.83, 0.740797
 865,     0.83, 0.743789
 866,     0.83, 0.743666
 867,     0.83, 0.739585
 868,     0.83, 0.738419
 869,     0.83, 0.742387
 870,     0.83,  0.74677
 871,     0.83, 0.746163
 872,     0.83, 0.740339
 873,     0.83, 0.747562
 874,     0.83, 0.742652
 875,     0.83, 0.734707
 876,     0.83, 0.735397
 877,     0.83, 0.740213
 878,     0.83, 0.740361
 879,     0.83, 0.738712
 880,     0.83, 0.740023
 881,     0.83, 0.738944
 882,     0.83, 0.737581
 883,     0.83, 0.741013
 884,     0.83, 0.735781
 885,     0.83, 0.736147
 886,     0.83, 0.740219
 887,     0.83, 0.736327
 888,     0.83, 0.739124
 889,     0.83, 0.742334
 890,     0.83, 0.737131
 891,     0.83,  0.74349
 892,     0.83, 0.743498
 893,     0.83, 0.748348
 894,     0.83, 0.741624
 895,     0.83, 0.744859
 896,     0.83, 0.741135
 897,     0.83, 0.739919
 898,     0.83, 0.743937
