gen, tournament_binary_uniform_best, tournament_binary_uniform_ave
 631,    0.774, 0.723513
 632,    0.774, 0.722418
 633,    0.774,  0.72049
 634,    0.774, 0.720931
 635,    0.774, 0.723966
 636,   0.7745,  0.72625
 637,   0.7745, 0.722228
 638,   0.7745, 0.722627
 639,   0.7745, 0.726154
 640,   0.7745, 0.724565
 641,   0.7745, 0.726341
 642,   0.7745, 0.720782
 643,   0.7745, 0.724383
 644,   0.7745, 0.723431
 645,   0.7745, 0.722579
 646,   0.7745, 0.721816
 647,   0.7745, 0.723855
 648,   0.7745, 0.722126
 649,   0.7745,  0.72316
 650,   0.7745, 0.725333
 651,   0.7745, 0.725987
 652,   0.7745, 0.718714
 653,   0.7745, 0.721412
 654,   0.7745, 0.725119
 655,   0.7745, 0.725764
 656,   0.7745, 0.726219
 657,   0.7745, 0.726157
 658,   0.7745, 0.728095
 659,   0.7745, 0.723277
 660,   0.7745, 0.723892
 661,   0.7745,  0.72599
 662,   0.7745, 0.725487
 663,   0.7745, 0.721334
 664,   0.7745, 0.723621
 665,   0.7745, 0.725234
 666,   0.7745, 0.724442
 667,   0.7745, 0.726317
 668,   0.7745, 0.729126
 669,   0.7745, 0.728227
 670,   0.7745, 0.724796
 671,   0.7745, 0.722973
 672,   0.7745, 0.723266
 673,   0.7745, 0.724485
 674,   0.7745, 0.726271
 675,   0.7745, 0.726448
 676,   0.7745,   0.7248
 677,   0.7745, 0.721839
 678,   0.7745, 0.720443
 679,   0.7745, 0.723277
 680,   0.7745, 0.725995
 681,   0.7745, 0.724223
 682,   0.7745, 0.721654
 683,   0.7745, 0.723322
 684,   0.7745, 0.723734
 685,   0.7745,  0.72437
 686,   0.7745,  0.72302
 687,   0.7745, 0.724786
 688,   0.7745, 0.724744
 689,   0.7745, 0.724046
 690,   0.7745,  0.72506
 691,   0.7745, 0.721862
 692,   0.7745, 0.722378
 693,   0.7745,  0.72203
 694,   0.7749, 0.721751
 695,   0.7749, 0.722623
 696,   0.7749, 0.725717
 697,   0.7749, 0.724143
 698,   0.7753, 0.723754
 699,   0.7753,  0.72515
 700,   0.7753, 0.724721
 701,   0.7753, 0.723558
 702,   0.7753, 0.720613
 703,   0.7753, 0.721354
 704,   0.7753, 0.724387
 705,   0.7753, 0.725106
 706,   0.7753, 0.724944
 707,   0.7753,  0.72396
 708,   0.7753, 0.726965
 709,   0.7753,  0.72477
 710,   0.7753, 0.722602
 711,   0.7753, 0.727255
 712,   0.7753, 0.724418
 713,   0.7753, 0.726041
 714,   0.7753, 0.724859
 715,   0.7753,  0.72125
 716,   0.7753, 0.726391
 717,   0.7753, 0.723611
 718,   0.7753, 0.724789
 719,   0.7753, 0.722978
 720,   0.7753, 0.722507
 721,   0.7753, 0.722554
 722,   0.7753, 0.721929
 723,   0.7753, 0.725931
 724,   0.7753, 0.723648
 725,   0.7753, 0.720615
 726,   0.7753, 0.720613
 727,   0.7753,  0.72266
 728,   0.7753, 0.724211
 729,   0.7753, 0.723611
 730,   0.7753, 0.724594
 731,   0.7753, 0.723203
 732,   0.7753,  0.72657
 733,   0.7753, 0.726764
 734,   0.7753, 0.727057
 735,   0.7753, 0.723583
 736,   0.7753, 0.723095
 737,   0.7753,  0.72164
 738,   0.7753, 0.725453
 739,   0.7753, 0.722997
 740,   0.7753,  0.72393
 741,   0.7753, 0.723735
 742,   0.7753, 0.723074
 743,   0.7753, 0.728289
 744,   0.7753, 0.720701
 745,   0.7753, 0.726873
 746,   0.7753, 0.725726
 747,   0.7753,  0.72175
 748,   0.7753, 0.728005
 749,   0.7753, 0.723878
 750,   0.7753, 0.726515
 751,   0.7753, 0.722969
 752,   0.7753, 0.722107
 753,   0.7753,  0.72524
 754,   0.7753, 0.722358
 755,   0.7753, 0.722007
 756,   0.7753, 0.721417
 757,   0.7753, 0.725033
 758,   0.7753,  0.72337
 759,   0.7753, 0.724446
 760,   0.7753, 0.724196
 761,   0.7753, 0.723875
 762,   0.7753, 0.724437
 763,   0.7753,  0.72476
 764,   0.7753, 0.725193
 765,   0.7753, 0.724142
 766,   0.7753, 0.723791
 767,   0.7753, 0.723713
 768,   0.7753,  0.72389
 769,   0.7753, 0.723015
 770,   0.7753,  0.72472
 771,   0.7753, 0.726719
 772,   0.7753, 0.725806
 773,   0.7753, 0.726155
 774,   0.7753, 0.726365
 775,   0.7753, 0.723068
 776,   0.7753, 0.725574
 777,   0.7753, 0.723596
 778,   0.7753, 0.722439
 779,   0.7753, 0.726169
 780,   0.7753, 0.725331
 781,   0.7753, 0.724361
