gen, tournament_ternary_uniform_best, tournament_ternary_uniform_ave
 543,   0.8033, 0.741069
 544,   0.8033, 0.746256
 545,   0.8033, 0.741683
 546,   0.8033, 0.744302
 547,   0.8033, 0.743731
 548,   0.8033, 0.742305
 549,   0.8033, 0.744892
 550,   0.8033, 0.742281
 551,   0.8033, 0.745602
 552,   0.8033, 0.744332
 553,   0.8033, 0.743364
 554,   0.8033, 0.737478
 555,   0.8033, 0.742326
 556,   0.8033, 0.746523
 557,   0.8033, 0.747032
 558,   0.8033, 0.744456
 559,   0.8033, 0.742698
 560,   0.8033, 0.744539
 561,   0.8033, 0.744442
 562,   0.8033, 0.741952
 563,   0.8034, 0.739266
 564,   0.8034, 0.743444
 565,   0.8034, 0.743366
 566,   0.8034, 0.742402
 567,   0.8034, 0.741862
 568,   0.8034, 0.739787
 569,   0.8034, 0.739882
 570,   0.8034, 0.744837
 571,   0.8034, 0.743048
 572,   0.8034,  0.74215
 573,   0.8034, 0.739864
 574,   0.8034, 0.740587
 575,   0.8034, 0.740601
 576,   0.8034, 0.742259
 577,   0.8034, 0.742107
 578,   0.8034, 0.740075
 579,   0.8034, 0.738566
 580,   0.8034, 0.741689
 581,   0.8034, 0.745058
 582,   0.8034, 0.741967
 583,   0.8034,   0.7403
 584,   0.8034, 0.738244
 585,   0.8034,  0.74176
 586,   0.8034, 0.740582
 587,   0.8034, 0.740655
 588,   0.8034, 0.742996
 589,   0.8034, 0.740042
 590,   0.8034,  0.74062
 591,   0.8034,  0.73889
 592,   0.8034, 0.740835
 593,   0.8034, 0.739525
 594,   0.8034, 0.740026
 595,   0.8034, 0.736582
 596,   0.8034, 0.740524
 597,   0.8034, 0.742346
 598,   0.8034, 0.744156
 599,   0.8034, 0.743454
 600,   0.8034, 0.742931
 601,   0.8034, 0.742828
 602,   0.8034, 0.742828
 603,   0.8034, 0.744111
 604,   0.8034, 0.741363
 605,   0.8034, 0.740081
 606,   0.8034, 0.742821
 607,   0.8034,  0.74072
 608,   0.8034, 0.742818
 609,   0.8034,  0.74634
 610,   0.8034, 0.741655
 611,   0.8034, 0.746069
 612,   0.8034, 0.740964
 613,   0.8034, 0.742073
 614,   0.8034, 0.739799
 615,   0.8034, 0.739476
 616,   0.8034, 0.737648
 617,   0.8034, 0.743415
 618,   0.8034, 0.743457
 619,   0.8034, 0.740062
 620,   0.8034, 0.742725
 621,   0.8034, 0.742333
 622,   0.8034, 0.740849
 623,   0.8034, 0.741112
 624,   0.8038, 0.742473
 625,   0.8038, 0.741373
 626,   0.8038, 0.742731
 627,   0.8038, 0.741583
 628,   0.8038, 0.740688
 629,   0.8038, 0.744757
 630,   0.8038, 0.740098
 631,   0.8038, 0.742496
 632,   0.8038, 0.740424
 633,   0.8038, 0.742036
 634,   0.8038,  0.74142
 635,   0.8038, 0.739778
 636,   0.8038, 0.747853
 637,   0.8038, 0.744967
 638,   0.8038, 0.742415
 639,   0.8038, 0.744221
 640,   0.8038, 0.743205
 641,   0.8038, 0.745075
 642,   0.8038, 0.742621
 643,   0.8038, 0.744257
 644,   0.8038, 0.742779
 645,   0.8038, 0.743511
 646,   0.8038, 0.741574
 647,   0.8038, 0.744814
 648,   0.8038, 0.743854
 649,   0.8038, 0.743383
 650,   0.8038, 0.743063
 651,   0.8038,  0.74245
 652,   0.8038, 0.740435
 653,   0.8038, 0.742642
 654,   0.8038, 0.743049
 655,   0.8038, 0.739184
 656,   0.8038, 0.745806
 657,   0.8038, 0.746167
 658,   0.8038, 0.743751
 659,   0.8038, 0.742238
 660,   0.8038, 0.745761
 661,   0.8038, 0.744742
 662,   0.8038, 0.744986
 663,   0.8038, 0.741277
 664,   0.8038, 0.741552
 665,   0.8038, 0.743279
 666,   0.8038, 0.741968
 667,   0.8038, 0.740116
 668,   0.8038, 0.744477
 669,   0.8038, 0.739577
 670,   0.8038, 0.741075
 671,   0.8038, 0.735907
 672,   0.8038, 0.743851
 673,   0.8038, 0.742655
 674,   0.8038, 0.739676
 675,   0.8038, 0.739658
 676,   0.8038,  0.73815
 677,   0.8038, 0.743663
 678,   0.8038, 0.742194
 679,   0.8043,  0.74157
 680,   0.8043, 0.741706
 681,   0.8043,  0.74714
 682,   0.8043, 0.745984
 683,   0.8043, 0.741435
 684,   0.8043, 0.747468
 685,   0.8043, 0.745878
 686,   0.8043, 0.745109
 687,   0.8043, 0.744865
 688,   0.8043,  0.74269
 689,   0.8043, 0.742984
 690,   0.8043, 0.742583
 691,   0.8043, 0.744045
 692,   0.8043,  0.74468
 693,   0.8043, 0.745935
 694,   0.8043, 0.744667
 695,   0.8043, 0.744932
 696,   0.8043,  0.74333
 697,   0.8043, 0.741247
 698,   0.8043,  0.74577
 699,   0.8043, 0.747677
 700,   0.8043, 0.743341
 701,   0.8043, 0.743709
 702,   0.8043, 0.739399
 703,   0.8043,  0.74229
 704,   0.8043, 0.744077
 705,   0.8043, 0.744646
 706,   0.8043, 0.739509
 707,   0.8043, 0.746611
 708,   0.8043, 0.746996
 709,   0.8052, 0.748891
 710,   0.8052, 0.747472
 711,   0.8052, 0.747249
 712,   0.8052,  0.74666
 713,   0.8052, 0.745838
 714,   0.8052, 0.746887
 715,   0.8052, 0.743024
 716,   0.8052, 0.742527
 717,   0.8052, 0.747572
 718,   0.8055, 0.745417
 719,   0.8055, 0.743293
 720,   0.8055, 0.745453
 721,   0.8055, 0.746453
 722,   0.8055, 0.744349
 723,   0.8055,  0.74226
 724,   0.8055, 0.745168
 725,   0.8055, 0.743565
 726,   0.8055, 0.745716
 727,   0.8055, 0.746403
 728,   0.8055, 0.744549
 729,   0.8055, 0.745471
 730,   0.8055,  0.74086
 731,   0.8055, 0.744907
 732,   0.8055, 0.748172
 733,   0.8055, 0.744816
 734,   0.8055, 0.743865
 735,   0.8055, 0.744474
 736,   0.8055, 0.743231
 737,   0.8055, 0.744153
 738,   0.8055, 0.743607
 739,   0.8055, 0.742305
 740,   0.8055, 0.743053
 741,   0.8055, 0.745911
 742,   0.8055, 0.744203
 743,   0.8064, 0.745583
 744,   0.8064, 0.746782
 745,   0.8064, 0.743199
 746,   0.8064, 0.739591
 747,   0.8064, 0.741891
 748,   0.8064, 0.742783
 749,   0.8064, 0.743741
 750,   0.8064, 0.745869
 751,   0.8064, 0.741767
 752,   0.8064, 0.744556
 753,   0.8064, 0.746193
 754,   0.8064, 0.743559
 755,   0.8064, 0.744626
 756,   0.8064,  0.73939
 757,   0.8064, 0.744452
 758,   0.8064, 0.740151
 759,   0.8064, 0.742446
 760,   0.8064, 0.742087
 761,   0.8064, 0.743068
 762,   0.8064, 0.745389
 763,   0.8064, 0.742351
 764,   0.8064, 0.747482
 765,   0.8069, 0.747483
 766,   0.8069,  0.74417
 767,   0.8069, 0.744672
 768,   0.8069, 0.741042
 769,   0.8069, 0.740176
 770,   0.8069, 0.743627
 771,   0.8069, 0.746657
 772,   0.8069, 0.744047
 773,   0.8069, 0.743138
 774,   0.8069, 0.745405
 775,   0.8069,  0.74559
 776,   0.8069, 0.742802
 777,   0.8069, 0.746859
 778,   0.8069,  0.74605
 779,   0.8069, 0.747074
 780,   0.8069, 0.741547
 781,   0.8069, 0.742208
 782,   0.8069, 0.745367
 783,   0.8069, 0.741058
 784,   0.8069, 0.741103
 785,   0.8069, 0.744433
 786,   0.8069, 0.743003
 787,   0.8069, 0.745279
 788,   0.8069, 0.744946
 789,   0.8069, 0.749762
 790,   0.8069, 0.745354
 791,   0.8069, 0.743557
 792,   0.8069, 0.744024
 793,   0.8069, 0.744979
 794,   0.8069, 0.749171
 795,   0.8069,  0.74498
 796,   0.8069, 0.740697
 797,   0.8069, 0.743254
 798,   0.8069, 0.743073
 799,   0.8069, 0.741848
 800,   0.8069, 0.746752
 801,   0.8069, 0.742058
 802,   0.8069, 0.745637
 803,   0.8073, 0.748145
 804,   0.8073, 0.742771
 805,   0.8073, 0.744751
 806,   0.8073,  0.74208
 807,   0.8073, 0.743238
 808,   0.8075, 0.746554
 809,   0.8075, 0.747025
 810,   0.8075, 0.741952
 811,   0.8075, 0.745462
 812,   0.8075, 0.745373
 813,   0.8075, 0.744837
 814,   0.8075, 0.741113
 815,   0.8075, 0.741855
 816,   0.8075, 0.746191
 817,   0.8075,  0.74319
 818,   0.8075, 0.744527
 819,   0.8075, 0.742887
 820,   0.8075, 0.744166
 821,   0.8075, 0.745484
 822,   0.8075, 0.744832
 823,   0.8075, 0.745481
 824,   0.8075, 0.744135
 825,   0.8075, 0.740454
 826,   0.8075, 0.744576
 827,   0.8081,   0.7439
 828,   0.8081, 0.747025
 829,   0.8081, 0.747611
 830,   0.8081, 0.745892
 831,   0.8081, 0.746254
 832,   0.8081, 0.744195
 833,   0.8081, 0.745469
 834,   0.8084, 0.740965
 835,   0.8084,  0.74392
 836,   0.8084, 0.750968
 837,   0.8084, 0.744249
 838,   0.8084, 0.752748
 839,   0.8084, 0.750606
 840,   0.8084, 0.749715
 841,   0.8084, 0.746552
 842,   0.8084, 0.747698
 843,   0.8084, 0.750651
 844,   0.8084, 0.745883
 845,   0.8084, 0.749702
 846,   0.8084, 0.743517
 847,   0.8084, 0.746445
 848,   0.8084, 0.746306
 849,   0.8084, 0.748855
 850,   0.8084, 0.744943
 851,   0.8084, 0.747598
 852,   0.8084,  0.74663
 853,   0.8084, 0.746596
 854,   0.8084, 0.747587
 855,   0.8084, 0.748448
 856,   0.8084, 0.745985
 857,   0.8084, 0.746459
 858,   0.8084, 0.744501
 859,   0.8084,  0.74852
 860,   0.8084, 0.747646
 861,   0.8084,  0.74698
 862,   0.8084, 0.749563
 863,   0.8084, 0.747754
 864,   0.8084, 0.745627
 865,   0.8084, 0.748061
 866,   0.8084, 0.749517
 867,   0.8084, 0.749415
 868,   0.8084, 0.743961
 869,   0.8084, 0.748662
 870,   0.8084, 0.747515
 871,   0.8084, 0.748793
 872,   0.8084, 0.748701
 873,   0.8084, 0.750969
 874,   0.8087, 0.747695
 875,   0.8087, 0.749628
 876,   0.8087, 0.749357
 877,   0.8087, 0.750027
 878,   0.8087, 0.750595
 879,   0.8095, 0.747576
 880,   0.8095, 0.746912
 881,   0.8095, 0.752575
 882,   0.8095, 0.750501
 883,   0.8097, 0.748484
 884,   0.8097, 0.747688
 885,   0.8097, 0.746287
 886,   0.8097, 0.747952
 887,   0.8097, 0.748839
 888,   0.8097, 0.750847
 889,   0.8107, 0.749041
 890,   0.8107, 0.752417
 891,   0.8107, 0.752647
 892,   0.8107, 0.751016
 893,   0.8107,  0.75255
 894,   0.8107, 0.752576
 895,   0.8107, 0.752232
 896,   0.8107, 0.752873
 897,   0.8109, 0.755384
 898,   0.8109, 0.753605
 899,   0.8109, 0.755002
 900,   0.8109, 0.753563
 901,   0.8109, 0.750848
 902,   0.8109, 0.750733
 903,   0.8109, 0.751063
 904,   0.8109,  0.75592
 905,   0.8109, 0.751865
 906,   0.8109, 0.750879
 907,   0.8109, 0.749619
 908,   0.8109, 0.751737
 909,   0.8109,  0.75331
 910,   0.8109, 0.748378
 911,   0.8109, 0.752743
 912,   0.8109,  0.74979
 913,   0.8109, 0.752834
 914,   0.8109, 0.752995
 915,   0.8109, 0.746554
 916,   0.8109, 0.749915
 917,   0.8109, 0.752089
 918,   0.8109, 0.749902
 919,   0.8109, 0.752446
 920,   0.8109, 0.751001
 921,   0.8109, 0.753227
 922,   0.8109, 0.750656
 923,   0.8109, 0.754966
 924,   0.8109, 0.752648
 925,   0.8109,  0.75461
 926,   0.8109, 0.753569
 927,    0.812, 0.750251
 928,    0.812, 0.751095
 929,    0.812, 0.755942
 930,    0.812, 0.752775
 931,    0.812, 0.754679
 932,    0.812, 0.755441
